ID,rep,sibling letter,parent.drought,drought,treatment,leaves,pods,flowers,seeds,seedsperpod,seedmass,avgseedmass,germdate,deathdate,lifespan,flowerdate,endflower,flowerspan,seeddate,seedspan,sprouttoflower,rootwidth,bgb,agb,root,shoot,rs_length.ratio,rs_biomass.ratio
34,1,a,drought,N,dxc,112,2,2,8,4,0.0307,0.0038375,69,158,89,130,158,28,137,68,61,0.27,0.02,2.169,9.2,21.4,0.429906542,0.009220839
35,1,f,drought,N,dxc,105,5,0,18,3.6,0.0453,0.002516667,86,158,72,,,0,,0,0,0.26,0.066,1.271,13.3,25.2,0.527777778,0.051927616
36,2,f,control,N,cxc,67,0,0,,0,,,86,158,72,,,0,,0,0,0.3,0.1353,1.3268,19.1,21.7,,
37,3,b,control,N,cxc,95,27,5,75,2.77,0.3234,0.004312,69,151,82,116,137,21,123,54,47,0.3,0.0332,1.1191,5.6,19.6,0.285714286,0.029666696
38,3,c,control,N,cxc,82,12,9,55,4.58,0.1962,0.003567273,69,151,82,123,144,21,137,68,54,0.175,0.0449,1.2079,4.5,19.2,0.234375,0.037171951
39,3,d,control,N,cxc,85,20,5,58,2.9,0.2445,0.004215517,69,144,75,116,137,21,123,54,47,0.24,0.042,1.108,9.7,21.2,0.45754717,0.037906137
40,3,e,control,N,cxc,163,20,2,47,2.35,0.2276,0.004842553,69,158,89,130,158,28,137,68,61,0.32,0.133,3.01,18.7,18.4,1.016304348,0.044186047
41,3,f,control,N,cxc,76,0,2,,0,,,69,158,89,151,158,7,,0,82,0.45,0.0791,1.7218,19.6,19.5,1.005128205,0.045940295
42,3,g,control,N,cxc,14,0,0,,0,,,69,158,89,,,0,,0,0,0.125,0.0068,0.87,5.7,5.1,1.117647059,0.007816092
43,4,g,drought,N,dxc,62,21,4,77,3.66,0.2507,0.003255844,89,144,55,123,144,21,130,41,34,0.175,0.0353,0.6801,5.55,24.1,0.230290456,0.051904132
44,4,i,drought,N,dxc,93,0,0,,0,,,86,158,72,,,0,,0,0,0.31,0.307,2.527,12.1,18.3,0.661202186,0.12148793
45,5,b,drought,N,dxc,85,34,2,79,2.32,0.3625,0.004588608,69,158,89,144,158,14,158,89,75,0.29,0.106,1.579,12.4,19.4,0.639175258,0.067131096
46,5,c,drought,N,dxc,105,13,3,78,6,0.2945,0.003775641,86,158,72,151,158,7,158,72,65,0.275,0.0584,1.6399,10.1,22.3,0.452914798,0.035611928
47,5,d,drought,N,dxc,68,15,3,35,2.33,0.15,0.004285714,86,158,72,137,144,7,144,58,51,0.15,0.023,1.215,13.2,14.6,0.904109589,0.018930041
48,5,f,drought,N,dxc,38,3,1,4,1.33,0.0073,0.001825,89,158,69,130,144,14,137,48,41,0.225,0.0183,0.4904,8.45,15.9,0.531446541,0.037316476
49,5,j,drought,N,dxc,8,0,0,,0,,,86,144,58,,,0,,0,0,0.07,0.001,0.037,2.1,3.1,0.677419355,0.027027027
50,6,c,drought,N,dxc,36,19,2,42,2.21,0.1654,0.003938095,86,158,72,137,151,14,137,51,51,0.22,0.03,0.957,9.6,15.4,0.623376623,0.031347962
51,7,c,control,N,cxc,76,0,0,,0,,,69,158,89,,,0,,0,0,0.21,0.072,1.5,14.4,12.4,1.161290323,0.048
52,7,d,control,N,cxc,45,0,0,,0,,,69,130,61,,,0,,0,0,0.15,0.0058,0.1545,2.05,2.1,0.976190476,0.037540453
53,7,e,control,N,cxc,36,0,0,,0,,,86,151,65,,,0,,0,0,0.35,0.0125,0.4302,9,14.2,0.633802817,0.029056253
54,7,f,control,N,cxc,44,0,0,,0,,,69,151,82,,,0,,0,0,0.225,0.0075,0.4788,4.5,5.9,0.762711864,0.01566416
55,7,g,control,N,cxc,63,0,0,,0,,,69,158,89,,,0,,0,0,0.15,0.03,1.522,10.3,27.2,0.378676471,0.019710907
56,8,a,control,N,cxc,30,0,0,,0,,,86,130,44,,,0,,0,0,0.1,0.0001,0.006,0.55,1.7,0.323529412,0.016666667
57,10,a,control,N,cxc,22,0,0,,0,,,86,130,44,,,0,,0,0,0.1,0.0032,0.1065,2.5,2.7,,
58,10,b,control,N,cxc,16,0,0,,0,,,86,130,44,,,0,,0,0,0.125,0.0001,0.0162,0.3,1.9,,
59,11,d,control,N,cxc,77,38,4,68,1.79,0.242,0.003558824,86,158,72,144,151,7,151,65,58,0.2,0.074,1.656,12.5,13.6,0.919117647,0.04468599
1,1,p,drought,Y,dxd,32,0,2,,0,,,86,151,65,122,144,22,,0,36,0.4,0.017,0.195,10.6,13.3,0.796992481,0.087179487
2,2,q,control,Y,cxd,15,0,0,,0,,,103,130,27,,,0,,0,0,0.17,0.005,0.086,2.8,4.6,,
3,3,k,control,Y,cxd,55,14,3,37,3.7,0.1792,0.004843243,76,137,61,116,137,21,122,46,40,0.51,0.047,0.706,12.6,16.6,0.759036145,0.066572238
4,3,l,control,Y,cxd,65,14,3,23,1.64,0.621,0.027,76,137,61,122,137,15,130,54,46,0.41,0.017,0.712,9.8,17.2,0.569767442,0.023876404
5,3,n,control,Y,cxd,82,0,0,,0,,,76,158,82,,,0,,0,0,0.46,0.431,1.126,17.5,15.3,1.14379085,0.38277087
6,3,m,control,Y,cxd,59,9,2,17,1.88,0.0693,0.004076471,76,144,68,122,137,15,130,54,46,,,,,,,
7,3,q,control,Y,cxd,28,3,1,10,3.33,0.366,0.0366,86,151,65,130,137,7,137,51,44,0.32,0.018,0.316,10.6,18.8,0.563829787,0.056962025
8,3,r,control,Y,cxd,65,0,2,,0,,,86,151,65,144,151,7,,0,58,0.56,0.021,0.885,14.3,20.2,0.707920792,0.023728814
9,3,s,control,Y,cxd,23,2,1,,0,,,93,151,58,130,137,7,137,44,37,0.125,0.009,0.128,5.8,19.2,0.302083333,0.0703125
10,4,r,drought,Y,dxd,46,10,2,29,2.9,0.1126,0.003882759,89,144,55,122,137,15,137,48,33,0.31,0.032,0.515,11.6,17.8,0.651685393,0.062135922
11,4,q,drought,Y,dxd,42,7,1,28,4,0.114,0.004071429,89,144,55,122,137,15,137,48,33,0.4,0.06,0.651,13.2,17.3,0.76300578,0.092165899
12,4,s,drought,Y,dxd,20,3,1,4,1.33,0.0065,0.001625,100,158,58,137,144,7,144,44,37,0.23,0.022,0.147,9.9,11.6,0.853448276,0.149659864
13,5,k,drought,Y,dxd,33,0,0,,0,,,76,158,82,,,0,,0,0,0.28,0.005,0.345,5.6,8.2,0.682926829,0.014492754
14,5,l,drought,Y,dxd,69,21,4,45,2.14,0.1919,0.004264444,76,130,54,144,151,7,158,82,68,0.51,0.082,1.237,15.1,28.9,0.52249135,0.06628941
15,5,m,drought,Y,dxd,19,1,1,1,1,0.0038,0.0038,86,144,58,116,130,14,122,36,30,0.29,0.008,0.12,9.2,15.6,0.58974359,0.066666667
16,5,n,drought,Y,dxd,22,5,1,4,0.8,0.0182,0.00455,86,137,51,122,130,8,137,51,36,0.27,0.004,0.131,9.7,16.1,0.602484472,0.030534351
17,5,o,drought,Y,dxd,46,9,3,15,1.66,0.0768,0.00512,86,144,58,122,130,8,130,44,36,0.42,0.083,0.46,14.4,16.7,0.862275449,0.180434783
18,6,p,drought,Y,dxd,26,0,1,,0,,,86,151,65,122,144,22,137,51,36,0.24,0.006,0.238,7.1,11.2,0.633928571,0.025210084
19,7,k,control,Y,cxd,21,0,0,,0,,,94,151,57,137,144,7,,0,43,0.39,0.004,0.089,4.6,3.4,1.352941176,0.04494382
20,7,l,control,Y,cxd,42,0,0,,0,,,76,130,54,,,0,,0,0,0.35,0.102,0.541,13.6,8.3,1.638554217,0.188539741
21,7,o,control,Y,cxd,55,5,1,9,1.8,0.0126,0.0014,86,158,72,151,158,7,158,72,65,0.14,0.054,0.775,11.9,13.1,0.908396947,0.069677419
22,7,p,control,Y,cxd,25,0,0,,0,,,86,158,72,,,0,,0,0,0.2,0.006,0.126,6.7,5.7,1.175438596,0.047619048
23,8,k,drought,Y,dxd,31,0,0,,0,,,76,151,75,,,0,,0,0,0.13,0.007,0.069,1.7,4.1,0.414634146,0.101449275
24,9,l,drought,Y,dxd,37,0,0,,0,,,69,130,61,,,0,,0,0,0.17,0.003,0.121,6.7,3.4,1.970588235,0.024793388
25,10,p,control,Y,cxc,14,0,0,,0,,,86,122,36,,,0,,0,0,0.26,0.002,0.073,3.5,3.4,,
26,6,t,drought,Y,dxd,31,6,1,14,2.33,0.0615,0.004392857,86,122,36,137,151,14,151,65,51,0.21,0.089,0.295,15.1,15.6,0.967948718,0.301694915
